,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,0,3,Aitana Bonmatí,91,81,86,86,91,77,75,82,80,91,91,79,89,70,70,90,74,77,91,90,78,92,93,86,91,91,85,88,54,75,81,67,75,82,75,64,CM,5,4,Right,"162cm / 5'4""",53kg / 117lb,CAM,26,Spain,Liga F,FC Barcelona,"Technical+, Finesse Shot, First Touch, Incisive Pass, Pinged Pass, Relentless, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aitana-bonmati/241667,,,,,
1,1,6,Alexia Putellas,90,82,89,90,91,72,78,81,82,91,91,86,89,90,89,91,88,89,91,90,89,90,90,89,90,92,92,78,74,60,81,64,84,85,78,70,CM,5,5,Left,"173cm / 5'8""",69kg / 152lb,CAM,30,Spain,Liga F,FC Barcelona,"First Touch+, Finesse Shot, Flair, Incisive Pass, Pinged Pass, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexia-putellas/227203,,,,,
2,2,8,Caroline Graham Hansen,90,89,87,88,90,47,76,90,88,87,86,88,89,83,79,89,90,77,89,84,92,93,94,75,83,90,84,35,71,45,50,46,84,87,74,66,RW,5,5,Right,"175cm / 5'9""",59kg / 130lb,RM,29,Norway,Liga F,FC Barcelona,"Trickster+, Finesse Shot, First Touch, Flair, Quick Step, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caroline-graham-hansen/227102,,,,,
3,3,10,Sam Kerr,90,85,88,74,90,42,83,86,84,92,92,85,85,92,71,79,70,68,78,67,76,90,90,82,89,91,91,24,93,44,39,30,89,87,86,70,ST,4,4,Right,"168cm / 5'6""",66kg / 146lb,,31,Australia,Barclays WSL,Chelsea,"Finesse Shot+, Acrobatic, Aerial, Power Header, Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-kerr/227125,,,,,
4,4,14,Sophia Smith,89,93,86,79,89,45,84,92,93,89,89,86,82,84,78,74,73,72,88,75,74,89,85,86,89,91,80,43,79,41,42,39,92,93,85,68,ST,5,4,Right,"164cm / 5'5""",58kg / 128lb,RW,24,United States,NWSL,Portland Thorns,"First Touch+, Finesse Shot, Flair, Quick Step, Technical, Trickster",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sophia-smith/264012,,,,,
5,5,17,Ada Hegerberg,89,74,89,77,86,39,79,73,75,93,91,85,86,90,84,76,71,75,83,72,79,90,74,45,90,90,86,23,92,42,33,30,91,75,85,65,ST,4,4,Right,"176cm / 5'9""",68kg / 150lb,,29,Norway,Arkema PL,OL,"Aerial, First Touch, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ada-hegerberg/227310,,,,,
6,6,19,Mapi León,89,75,73,83,76,90,82,73,77,70,63,89,87,49,64,62,86,88,88,90,87,68,73,86,90,82,91,90,83,91,91,89,88,75,85,84,CB,3,2,Left,"170cm / 5'7""",58kg / 128lb,,29,Spain,Liga F,FC Barcelona,"Intercept+, Anticipate, Block, Jockey, Long Ball Pass, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mapi-leon/236479,,,,,
7,7,24,Marie Katoto,88,85,87,77,84,39,74,88,82,91,90,84,83,91,82,79,71,72,85,70,71,84,84,68,82,87,85,27,91,37,35,30,95,71,85,44,ST,4,4,Right,"177cm / 5'10""",66kg / 146lb,,25,France,Arkema PL,Paris SG,"Power Header+, Aerial, Press Proven, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marie-katoto/246272,,,,,
8,8,26,Debinha,88,84,81,87,91,46,68,83,84,87,82,80,78,86,78,90,85,80,87,85,89,93,90,94,77,91,84,49,56,49,39,44,72,81,61,70,CAM,5,5,Right,"155cm / 5'1""",52kg / 115lb,RM,32,Brazil,NWSL,KC Current,"Trickster+, Acrobatic, First Touch, Flair, Quick Step, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/debinha/226893,,,,,
9,9,27,Kadidiatou Diani,88,90,85,81,88,56,79,89,91,91,90,79,84,74,71,84,79,70,87,74,74,87,89,84,86,90,84,55,81,46,59,49,88,80,89,52,RW,4,4,Right,"168cm / 5'6""",64kg / 141lb,"ST, RM",29,France,Arkema PL,OL,"Flair, Quick Step, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kadidiatou-diani/227361,,,,,
